candidate,gamma,k,min_spread,max_spread_percent,max_quote_distance_percent,stop_loss_percent,score,return_30d,max_drawdown,sharpe,trades,win_rate,median_return_30d,p05_return_30d,p95_drawdown
113,0.08971,0.855023,0.00093711,0.006404,0.008921,0.047221,-1.0,-0.242108,0.242247,-42.458891,22054,0.38652,-0.238295,-0.279075,0.279827
111,0.068886,0.789925,0.00084353,0.020437,0.007117,0.028762,-1.0,-0.298584,0.298692,-51.046631,23932,0.369629,-0.292365,-0.338099,0.338329
57,0.125279,2.345865,0.00069874,0.005443,0.00181,0.017088,-1.0,-0.370448,0.370504,-68.050677,20139,0.314097,-0.363144,-0.430812,0.431073
22,0.03751,1.27067,0.00063901,0.011847,0.006946,0.029639,-1.0,-0.375968,0.376045,-62.616922,23661,0.340242,-0.372117,-0.423925,0.424097
91,0.189588,1.405835,0.00084118,0.011542,0.001268,0.072904,-1.0,-0.387352,0.387418,-66.354529,21391,0.323576,-0.381542,-0.450475,0.450689
60,0.252082,1.43294,0.00097106,0.011244,0.00533,0.017994,-1.0,-0.404305,0.404377,-66.775172,22309,0.326069,-0.401381,-0.472132,0.472135
97,0.253142,1.631542,0.00094834,0.007652,0.009646,0.053116,-1.0,-0.42975,0.429812,-71.04508,22757,0.31704,-0.426549,-0.495227,0.495712
101,0.328541,2.208702,0.0009474,0.007784,0.002392,0.032945,-1.0,-0.442944,0.442993,-77.218409,20382,0.292151,-0.431802,-0.526939,0.527268
8,0.107779,0.624936,0.00068898,0.018401,0.006299,0.078985,-1.0,-0.436367,0.436432,-69.901225,23919,0.323437,-0.433253,-0.491524,0.491804
4,0.161122,3.126765,0.00069289,0.010806,0.004302,0.068966,-1.0,-0.466695,0.466746,-77.364726,22604,0.300603,-0.462391,-0.532411,0.532487
13,0.158202,3.432492,0.00069661,0.014592,0.005266,0.071208,-1.0,-0.478383,0.478433,-76.954451,23313,0.303865,-0.47386,-0.543276,0.543276
15,0.202706,2.897722,0.00062195,0.0049,0.001111,0.019232,-1.0,-0.478183,0.478222,-83.31622,20034,0.274561,-0.476491,-0.554835,0.554927
55,0.261623,3.404116,0.00085701,0.00634,0.009466,0.028015,-1.0,-0.485273,0.48533,-78.363453,22531,0.297686,-0.481542,-0.560562,0.560743
79,0.236867,2.581552,0.00073065,0.00916,0.005734,0.036992,-1.0,-0.532401,0.532448,-85.105642,22704,0.2817,-0.524608,-0.610205,0.610251
34,0.147253,2.66309,0.00057144,0.01841,0.004334,0.014268,-1.0,-0.539651,0.539693,-88.426092,23355,0.276232,-0.529513,-0.610196,0.610239
108,0.078485,0.904365,0.00051507,0.021635,0.009904,0.067337,-1.0,-0.53536,0.535399,-86.603411,25239,0.287905,-0.532024,-0.596156,0.596271
12,0.162983,0.828624,0.0005716,0.004478,0.010285,0.072282,-1.0,-0.550247,0.55029,-87.866237,23062,0.276081,-0.545217,-0.624477,0.62471
74,0.330191,0.784191,0.0008358,0.005508,0.008947,0.033285,-1.0,-0.560616,0.560665,-85.273337,22144,0.27774,-0.556519,-0.641793,0.641864
83,0.118563,1.266023,0.00046782,0.019559,0.003555,0.065025,-1.0,-0.566627,0.566666,-90.686828,23359,0.270559,-0.563639,-0.636818,0.636886
85,0.104779,1.744029,0.00046224,0.013023,0.011956,0.014075,-1.0,-0.616267,0.616301,-94.800818,25710,0.26873,-0.609101,-0.687233,0.68724
14,0.095216,0.960176,0.00033568,0.012965,0.003729,0.023243,-1.0,-0.611989,0.612013,-100.560737,23187,0.245611,-0.611374,-0.688163,0.688254
73,0.104931,2.989484,0.00030977,0.011022,0.002278,0.075399,-1.0,-0.625126,0.625155,-101.227494,22745,0.241412,-0.623313,-0.704364,0.704434
31,0.085612,0.703325,0.00032157,0.018818,0.00665,0.023637,-1.0,-0.6432,0.643224,-100.715672,24402,0.248841,-0.639944,-0.717335,0.717337
3,0.032158,1.195284,2.699e-05,0.008149,0.004588,0.010445,-1.0,-0.652098,0.652129,-102.478969,23764,0.241933,-0.642072,-0.726343,0.726343
88,0.153539,2.56498,0.00046479,0.006671,0.011088,0.051074,-1.0,-0.650015,0.650045,-97.891973,24678,0.255731,-0.644221,-0.729865,0.730068
11,0.05907,1.139533,0.0002992,0.017143,0.009283,0.041173,-1.0,-0.649487,0.649515,-98.932699,25307,0.256357,-0.649164,-0.724626,0.724695
112,0.330182,3.161183,0.00081354,0.021562,0.008041,0.067671,-1.0,-0.653624,0.653657,-92.31128,24453,0.26658,-0.64997,-0.744156,0.744354
92,0.113542,2.826198,0.00027671,0.02282,0.00186,0.063911,-1.0,-0.661667,0.661694,-104.613762,23011,0.232577,-0.657891,-0.743354,0.743436
69,0.069605,1.266819,0.00029549,0.016032,0.009384,0.046037,-1.0,-0.663503,0.663534,-100.364204,25304,0.251959,-0.663313,-0.732156,0.732158
52,0.144287,2.603118,0.00031504,0.006121,0.003825,0.078253,-1.0,-0.666881,0.666906,-103.310126,22762,0.233705,-0.66525,-0.748923,0.748995
65,0.280549,1.078437,0.00066522,0.015504,0.008973,0.043456,-1.0,-0.688143,0.688179,-96.801062,24719,0.255096,-0.683092,-0.77184,0.771907
40,0.08765,1.13087,4.73e-05,0.007191,0.002878,0.07504,-1.0,-0.690393,0.690414,-109.105811,23011,0.220323,-0.685308,-0.770667,0.770883
46,0.176824,1.968919,0.00032527,0.004578,0.00468,0.020818,-1.0,-0.687357,0.687376,-107.555918,22446,0.220211,-0.686593,-0.779667,0.779715
17,0.099934,1.454257,0.00027785,0.006165,0.009582,0.044916,-1.0,-0.696897,0.696922,-105.542424,24695,0.235151,-0.693973,-0.779282,0.77929
99,0.077261,1.593777,0.00020375,0.01216,0.005603,0.066204,-1.0,-0.698381,0.698407,-104.17948,24195,0.236141,-0.694352,-0.777046,0.777143
33,0.071491,3.073624,0.0001151,0.005143,0.003179,0.036572,-1.0,-0.706699,0.706717,-113.116434,23047,0.209665,-0.696035,-0.796985,0.796992
18,0.250673,3.016505,0.00050096,0.014921,0.004104,0.079983,-1.0,-0.696402,0.696423,-104.751274,23183,0.22904,-0.696156,-0.783681,0.783731
86,0.328945,2.767136,0.00069471,0.024541,0.006271,0.035624,-1.0,-0.702797,0.702819,-103.181647,23894,0.235171,-0.700215,-0.801001,0.801014
87,0.084498,1.798936,0.00012068,0.004862,0.001219,0.010889,-1.0,-0.706201,0.706225,-105.771054,22652,0.224396,-0.703151,-0.787736,0.787818
54,0.089009,2.514925,0.00016356,0.011016,0.004224,0.072907,-1.0,-0.720014,0.720029,-111.011385,23650,0.215661,-0.714323,-0.810957,0.81096
6,0.049122,1.560791,7.661e-05,0.017534,0.006736,0.068265,-1.0,-0.726566,0.726587,-106.025846,24755,0.231049,-0.725371,-0.798713,0.798802
37,0.116215,0.773683,0.00015337,0.015198,0.00669,0.040566,-1.0,-0.728851,0.72887,-108.347441,24448,0.224328,-0.727221,-0.809242,0.809271
53,0.086476,1.040095,2.578e-05,0.022563,0.006231,0.056987,-1.0,-0.730052,0.730073,-107.412592,24537,0.226555,-0.728697,-0.814164,0.814225
66,0.121104,1.067634,5.388e-05,0.010074,0.002765,0.038466,-1.0,-0.733249,0.733274,-107.023864,23277,0.221011,-0.730989,-0.812512,0.812635
72,0.081249,1.668366,0.00024476,0.01822,0.011386,0.041897,-1.0,-0.736644,0.736674,-104.455716,26117,0.239567,-0.732039,-0.813989,0.814298
104,0.195039,2.496323,0.00031983,0.020067,0.003243,0.040995,-1.0,-0.740793,0.740813,-110.339287,23291,0.211912,-0.735782,-0.838824,0.838824
21,0.102593,2.377949,0.00011783,0.011948,0.00195,0.065496,-1.0,-0.74204,0.742059,-112.22207,23061,0.206599,-0.741218,-0.830469,0.830536
56,0.257935,1.035081,0.00038516,0.013621,0.001689,0.035585,-1.0,-0.750655,0.750681,-106.977346,22649,0.214424,-0.748253,-0.851748,0.85179
24,0.077442,3.003727,3.619e-05,0.004905,0.003523,0.066156,-1.0,-0.756239,0.756255,-111.910684,23507,0.20785,-0.753522,-0.838599,0.838651
23,0.15215,0.727327,2.02e-05,0.0071,0.00771,0.071009,-1.0,-0.759948,0.759967,-110.695695,24252,0.213052,-0.759563,-0.842822,0.842825
43,0.14146,0.927123,0.00016021,0.007107,0.006889,0.025419,-1.0,-0.771854,0.771871,-113.705454,24076,0.203264,-0.762698,-0.861457,0.861523
0,0.1,1.5,9.8e-05,0.01,0.005,0.05,-1.0,-0.765489,0.765516,-108.818744,24081,0.216116,-0.763416,-0.850637,0.850806
16,0.067968,2.254031,2.237e-05,0.024359,0.006273,0.010191,-1.0,-0.771594,0.771618,-108.671429,24717,0.218669,-0.767175,-0.851875,0.85193
58,0.206687,0.880398,0.00027744,0.021071,0.001825,0.04785,-1.0,-0.768139,0.768161,-110.108961,22981,0.206173,-0.76737,-0.868007,0.868007
20,0.098343,3.481022,0.00012789,0.02278,0.005001,0.061898,-1.0,-0.770687,0.770703,-111.157531,24177,0.210397,-0.767645,-0.861195,0.861198
81,0.073557,3.000478,2.247e-05,0.015832,0.004335,0.06409,-1.0,-0.76715,0.767164,-111.899377,23957,0.207756,-0.769812,-0.850367,0.850511
25,0.035574,3.133243,3.311e-05,0.009503,0.009957,0.075155,-1.0,-0.77814,0.778154,-109.579378,25732,0.21993,-0.777138,-0.85545,0.855451
71,0.138705,1.997765,0.00024278,0.022,0.00805,0.048654,-1.0,-0.784658,0.784678,-105.813239,25194,0.224953,-0.782121,-0.869594,0.869627
51,0.114158,1.871481,0.00011613,0.006834,0.00758,0.043203,-1.0,-0.809378,0.809393,-115.707731,24540,0.192136,-0.784899,-0.908585,0.908613
105,0.158715,1.034775,0.00019625,0.009593,0.007344,0.040882,-1.0,-0.811645,0.811663,-114.665652,24423,0.193143,-0.786411,-0.907879,0.907912
47,0.182318,3.161379,0.00027414,0.015321,0.006611,0.035106,-1.0,-0.78555,0.785567,-114.109099,24198,0.199523,-0.789455,-0.878303,0.87831
115,0.161672,1.160362,4.923e-05,0.012742,0.002992,0.016767,-1.0,-0.796933,0.796951,-109.406938,23504,0.205555,-0.792257,-0.884577,0.884616
77,0.188105,1.725054,0.00032858,0.018277,0.008619,0.064825,-1.0,-0.796465,0.796486,-104.759887,25217,0.224596,-0.79282,-0.884128,0.884138
80,0.160839,2.378967,0.00020621,0.019645,0.005359,0.070535,-1.0,-0.794585,0.794599,-113.082781,24049,0.198933,-0.795466,-0.893296,0.893309
89,0.261691,1.314795,0.00042593,0.016078,0.006874,0.070647,-1.0,-0.79812,0.798139,-105.821756,24326,0.216134,-0.797769,-0.897234,0.897318
44,0.347891,0.925826,0.00048139,0.007215,0.005226,0.042582,-1.0,-0.800839,0.800853,-108.603989,22745,0.199222,-0.799874,-0.914134,0.914178
39,0.147602,1.026526,0.00015973,0.018219,0.005786,0.017339,-1.0,-0.801182,0.801202,-109.377681,24385,0.20863,-0.800204,-0.887974,0.887977
84,0.175872,1.137591,2.245e-05,0.010637,0.00363,0.054262,-1.0,-0.811063,0.811083,-112.742048,23461,0.193194,-0.805057,-0.909045,0.909045
64,0.281532,2.930181,0.00036558,0.021057,0.0023,0.030209,-1.0,-0.804431,0.804448,-108.624078,23008,0.200409,-0.805363,-0.912463,0.912482
26,0.097584,2.414902,3.062e-05,0.02179,0.006271,0.03185,-1.0,-0.806679,0.806696,-112.915062,24530,0.199422,-0.806366,-0.893452,0.89348
9,0.161195,2.822898,8.45e-05,0.014975,0.002075,0.064139,-1.0,-0.826016,0.826025,-116.770189,23015,0.175303,-0.807202,-0.930122,0.930125
32,0.110449,1.204335,9.732e-05,0.022652,0.009949,0.052022,-1.0,-0.819912,0.819932,-106.116082,25855,0.218804,-0.820768,-0.900814,0.900889
78,0.140662,1.715856,2.235e-05,0.024399,0.004306,0.02801,-1.0,-0.8218,0.821819,-110.448421,24032,0.198897,-0.821655,-0.91045,0.910452
30,0.28781,1.626521,0.00048694,0.01588,0.009727,0.060056,-1.0,-0.826785,0.826811,-103.036669,25173,0.21966,-0.824831,-0.927904,0.927904
107,0.233851,2.718499,0.00035475,0.015448,0.008519,0.020281,-1.0,-0.83245,0.83247,-105.817301,24998,0.211016,-0.829778,-0.930436,0.930668
110,0.2407,2.221034,0.00025079,0.015911,0.003339,0.020129,-1.0,-0.837338,0.837351,-110.396162,23344,0.187513,-0.835651,-0.94675,0.946759
50,0.131915,1.686316,2.3e-05,0.005339,0.008758,0.020307,-1.0,-0.845305,0.845322,-109.561118,24966,0.197385,-0.844724,-0.934062,0.93415
1,0.103132,2.107094,2.108e-05,0.008814,0.010372,0.054461,-1.0,-0.851029,0.851053,-108.225986,25784,0.203157,-0.847585,-0.937374,0.937566
118,0.225493,2.948545,0.00025452,0.014416,0.00622,0.047108,-1.0,-0.852023,0.852039,-107.879009,24200,0.192869,-0.854922,-0.956953,0.956954
98,0.233377,2.878135,0.00021895,0.009064,0.00733,0.033837,-1.0,-0.885565,0.885578,-106.068013,24236,0.171698,-0.855784,-1.002336,1.002408
42,0.211486,1.688433,2.291e-05,0.021067,0.004068,0.031315,-1.0,-0.891237,0.891251,-106.755111,23652,0.165007,-0.866201,-0.995515,0.995515
45,0.195212,1.149173,5.037e-05,0.007593,0.009966,0.062838,-1.0,-0.904962,0.904978,-101.249404,25161,0.174957,-0.876867,-1.004582,1.004594
36,0.252496,3.400822,0.00024601,0.021444,0.005188,0.056088,-1.0,-0.881374,0.881388,-104.050161,24000,0.18097,-0.87863,-0.989723,0.989723
117,0.19755,2.016278,9.807e-05,0.010285,0.003228,0.046414,-1.0,-0.880374,0.880387,-104.275732,23523,0.182275,-0.881007,-0.986813,0.98696
76,0.221417,2.693897,0.00020656,0.01428,0.006426,0.023803,-1.0,-0.884771,0.884785,-101.911233,24393,0.188043,-0.886006,-0.992507,0.992517
38,0.227163,2.925507,0.00013825,0.015068,0.00264,0.030647,-1.0,-0.892139,0.892151,-98.659493,23457,0.182744,-0.887041,-0.997318,0.997474
63,0.225321,0.952727,0.0002211,0.01155,0.007458,0.038465,-1.0,-0.892051,0.892061,-98.326984,24683,0.190521,-0.888677,-1.002826,1.002826
41,0.346064,0.775847,0.00052657,0.01624,0.011071,0.020669,-1.0,-0.894853,0.894874,-91.58112,25536,0.206434,-0.89146,-1.009344,1.009631
106,0.199897,2.317513,4.963e-05,0.017996,0.003609,0.057101,-1.0,-0.900554,0.900566,-97.816055,23794,0.179247,-0.894719,-1.003914,1.004025
48,0.121536,2.637266,8.256e-05,0.023248,0.010658,0.012562,-1.0,-0.900158,0.90017,-98.22747,26186,0.200995,-0.897482,-0.9897,0.989702
29,0.238413,0.665899,0.00016728,0.004775,0.011567,0.023893,-1.0,-0.902871,0.902886,-95.198173,25277,0.202556,-0.900497,-0.987886,0.987886
116,0.143068,1.918933,4.872e-05,0.016813,0.010781,0.051257,-1.0,-0.912725,0.912742,-94.098878,26137,0.197153,-0.909996,-1.000477,1.000541
59,0.28667,1.394517,6.116e-05,0.014509,0.002949,0.039219,-1.0,-0.945289,0.945298,-91.935009,23184,0.151827,-0.917404,-1.057622,1.057644
35,0.243503,3.137285,0.00021442,0.009095,0.008738,0.010816,-1.0,-0.930049,0.930064,-90.999235,24941,0.182646,-0.926955,-1.042934,1.042992
7,0.194733,1.405615,6.763e-05,0.020728,0.00909,0.060353,-1.0,-0.929436,0.929448,-92.320618,25371,0.178523,-0.92945,-1.024877,1.024877
68,0.261041,0.998891,0.00015342,0.007214,0.006937,0.020798,-1.0,-0.938301,0.938313,-88.248481,24315,0.177072,-0.938221,-1.038778,1.038851
119,0.314449,0.608593,0.00024969,0.017607,0.005345,0.022611,-1.0,-0.935692,0.935699,-89.889725,23949,0.173007,-0.939409,-1.038391,1.038396
96,0.309181,2.429708,0.00018483,0.00924,0.002571,0.0717,-1.0,-0.94848,0.94849,-84.813051,23184,0.174233,-0.945059,-1.065717,1.065725
100,0.261072,1.454171,2.129e-05,0.005949,0.006697,0.014197,-1.0,-0.969599,0.969613,-79.659489,24284,0.166585,-0.966593,-1.077118,1.077224
27,0.284808,1.522545,3.499e-05,0.013487,0.003512,0.060402,-1.0,-0.966961,0.966971,-80.522841,23545,0.159741,-0.967037,-1.077488,1.077495
82,0.26697,2.467309,5.544e-05,0.011313,0.003648,0.055704,-1.0,-0.975373,0.975381,-75.245225,23638,0.158355,-0.974556,-1.08431,1.08431
75,0.23793,3.358319,7.807e-05,0.006749,0.006643,0.019724,-1.0,-0.994074,0.994085,-59.686506,24645,0.170746,-0.994071,-1.105732,1.10577
94,0.286117,3.1311,3.858e-05,0.009868,0.003524,0.011304,-1.0,-1.007888,1.007898,-58.522376,23684,0.15607,-1.000499,-1.116071,1.116096
28,0.297929,1.395599,0.00028711,0.0173,0.011767,0.036644,-1.0,-1.007543,1.007553,-56.947656,26072,0.177183,-1.00627,-1.125519,1.125556
19,0.213043,3.013976,6.205e-05,0.013761,0.009572,0.065259,-1.0,-1.012674,1.012687,-50.373817,25724,0.175297,-1.013168,-1.112642,1.112729
109,0.315687,2.996709,3.449e-05,0.010139,0.001996,0.039412,-1.0,-1.014779,1.014786,-56.945827,23161,0.151125,-1.01358,-1.128717,1.128823
5,0.272791,1.081238,2.387e-05,0.019747,0.009434,0.031255,-1.0,-1.019035,1.019042,-50.308234,25521,0.170194,-1.021912,-1.123558,1.123558
114,0.285937,1.937636,6.207e-05,0.005809,0.00733,0.021889,-1.0,-1.031566,1.031575,-46.937225,24541,0.154104,-1.02593,-1.148833,1.148823
93,0.332052,1.263968,9.788e-05,0.015419,0.00402,0.038183,-1.0,-1.024364,1.024373,-51.728013,23847,0.162419,-1.026525,-1.13071,1.130913
61,0.251657,1.633738,0.00015415,0.02119,0.010752,0.011612,-1.0,-1.027065,1.027072,-47.892846,26013,0.174999,-1.02705,-1.140839,1.140839
70,0.301989,0.937865,0.00012299,0.017784,0.010049,0.025405,-1.0,-1.040072,1.040077,-31.081751,25410,0.153141,-1.035888,-1.149216,1.149198
103,0.295277,2.402253,0.00010646,0.022061,0.006461,0.069088,-1.0,-1.05122,1.051226,-42.97477,24690,0.159021,-1.053162,-1.17709,1.177075
102,0.310078,2.350572,4.453e-05,0.012459,0.005436,0.059807,-1.0,-1.060919,1.060928,-31.261809,24368,0.15938,-1.060935,-1.170247,1.170247
49,0.337283,1.360078,3.039e-05,0.005572,0.008042,0.03643,-1.0,-1.075196,1.075203,-26.344224,24583,0.14897,-1.072425,-1.187043,1.187101
62,0.330642,1.538353,0.00016469,0.020829,0.010245,0.061033,-1.0,-1.115818,1.115827,-34.718853,25742,0.152004,-1.117577,-1.248112,1.248072
95,0.345866,3.473592,6.769e-05,0.010616,0.008479,0.04573,-1.0,-1.161141,1.161146,-43.171971,25129,0.134019,-1.129172,-1.288381,1.288384
10,0.317165,2.86214,5.773e-05,0.022198,0.009136,0.02065,-1.0,-1.135618,1.135623,-38.906347,25473,0.143544,-1.130764,-1.255722,1.255774
67,0.348222,2.457649,3.436e-05,0.007171,0.009081,0.016079,-1.0,-1.156882,1.156891,-42.464137,25213,0.138078,-1.158706,-1.276528,1.276483
2,0.336021,1.906633,2.741e-05,0.010868,0.010847,0.059505,-1.0,-1.158602,1.158606,-43.475352,25740,0.137798,-1.162213,-1.279349,1.279367
90,0.347571,2.368014,2.514e-05,0.024554,0.010168,0.078085,-1.0,-1.188604,1.188608,-46.593078,25858,0.143349,-1.183963,-1.309651,1.309656
